№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
1658,Автобус,Остановка,УЛ. ЛЕНСОВЕТА,"УЛ. ЛЕНСОВЕТА [11, 31, 50, 114]","Типанова ул., Ленсовета ул.","11, 114, 141, 239, 246, 31, 50, 59","59.852510392203996,30.3308563"
1659,Автобус,Остановка,ПР. ЮРИЯ ГАГАРИНА,ПР. ЮРИЯ ГАГАРИНА,"Ленсовета ул., пр. Юрия Гагарина","231, 281, 34, 50, 59","59.838813776055574,30.3376274"
1660,Автобус,Остановка,"УЛ. ЛЕНСОВЕТА,87","УЛ. ЛЕНСОВЕТА,87 [50]",Ленсовета ул.,"231, 281, 34, 50, 59","59.835725082994806,30.3434067"
1661,Автобус,Остановка,УЛ. ЛЕРМОНТОВА,"УЛ. ЛЕРМОНТОВА [145, 165, 484, 484б, 482, 482а, 482в]","Таллинское ш., Лермонтова ул.","144, 145Э, 165, 446, 481, 482, 482В, 484, 547","59.722646921291627,30.0727901"
1662,Автобус,Остановка,УЛ. МАРИНЕСКО,УЛ. МАРИНЕСКО [66],"Автовская ул., Маринеско ул.",66,"59.867521472999144,30.2671814"
1663,Автобус,Остановка,"УЛ. МАРШАЛА ЗАХАРОВА,33","УЛ. МАРШАЛА ЗАХАРОВА,33 [142]",Маршала Захарова ул.,"111, 142, 160, 83, 87","59.850290907493594,30.2077789"
1664,Автобус,Остановка,"УЛ. МАРШАЛА ЗАХАРОВА,УГ. УЛ. ДЕСАНТНИКОВ","УЛ. МАРШАЛА ЗАХАРОВА,УГ. УЛ. ДЕСАНТНИКОВ [142]","Маршала Захарова ул., Десантников ул.","111, 142, 160, 83, 87","59.852009563146581,30.1999722"
1665,Автобус,Остановка,УЛ. МАРШАЛА КАЗАКОВА,УЛ. МАРШАЛА КАЗАКОВА [2],"Маршала Жукова пр., Маршала Казакова ул.","111, 2, 201, 229, 245, 2А","59.859044491522106,30.2317696"
1666,Автобус,Остановка,"УЛ. МАРШАЛА КАЗАКОВА,10","УЛ. МАРШАЛА КАЗАКОВА,10 [229]",Маршала Казакова ул.,"201, 203, 229, 245, 26, 260, 2А, 300, 333","59.859696116096039,30.2405529"
1667,Автобус,Остановка,УЛ. МАРШАЛА НОВИКОВА,"УЛ. МАРШАЛА НОВИКОВА [9, 85, 127, 171, 134]","Маршала Новикова ул., Автобусная ул.","127, 40","60.027075357816727,30.2747021"
1668,Автобус,Остановка,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,"УЛ. МАРШАЛА ТУХАЧЕВСКОГО [106, 174]","Революции ш., Маршала Тухачевского ул.",106,"59.959945356841153,30.4301834"
1669,Автобус,Остановка,УЛ. МАССАЛЬСКОГО,"УЛ. МАССАЛЬСКОГО [145, 165, 482, 484, 482а, 482в, 484б, 487, 487]","Таллинское ш., Нагорная ул.","144, 145, 145Э, 147, 149, 149А, 165, 245, 301, 442, 458, 458Б, 481, 482, 482В, 484","59.739509854405334,30.0912075"
1670,Автобус,Остановка,УЛ. МАЯКОВСКОГО,УЛ. МАЯКОВСКОГО [22],"Некрасова ул., Маяковского ул.",15,"59.938725666759829,30.3568077"
1671,Автобус,Остановка,УЛ. МИХАЙЛОВА,"УЛ. МИХАЙЛОВА [106, 107, 133]","Комсомола ул., Михайлова ул.","106, 107, 133, 176, 234, 28, 37","59.95448097789145,30.3636913"
1672,Автобус,Остановка,УЛ. НАХИМОВА,"УЛ. НАХИМОВА [1, 6]","Наличная ул., Матросская ул.","1, 262, 41, 47, 6","59.943207422578276,30.2312889"
1673,Автобус,Остановка,УЛ. НЕКРАСОВА,УЛ. НЕКРАСОВА [22],"Улица Восстания, Митавский переулок","105, 136, 136М, 169А, 22","59.940022359154291,30.3603592"
1674,Автобус,Остановка,УЛ. НОВОСЕЛОВ,"УЛ. НОВОСЕЛОВ [12, 118]","Переулок Челиева, Дальневосточный проспект","118, 12, 285, 97","59.885969954494847,30.467104"
1675,Автобус,Остановка,"УЛ. О. ДУНДИЧА,УГ. БУДАПЕШТСКОЙ УЛ.","УЛ. О. ДУНДИЧА,УГ. БУДАПЕШТСКОЙ УЛ.","Будапештская ул., Олеко Дундича ул.","157, 159, 225, 326, 50, 54, 56, 74","59.829200135099711,30.4060192"
1676,Автобус,Остановка,УЛ. ОБРУЧЕВЫХ,УЛ. ОБРУЧЕВЫХ [93],"Науки пр., ул. Обручевых","202, 293, 294, 78, 93, 94","60.016574044428417,30.3809414"
1677,Автобус,Остановка,УЛ. ОЛЬГИ ФОРШ,"УЛ. ОЛЬГИ ФОРШ [40, 93, 178]","Тимуровская ул., Ольги Форш ул.","193, 208, 93","60.04553074131573,30.3959465"
1678,Автобус,Остановка,ШУВАЛОВСКИЙ ПР.,ШУВАЛОВСКИЙ ПР.,"Ул. Оптиков, Шуваловский пр.","125, 172, 180, 184, 294","60.003580152965526,30.1959362"
1679,Автобус,Остановка,"УЛ. ОПТИКОВ,52","УЛ. ОПТИКОВ,52",Оптиков ул.,154А,"60.00187957602953,30.2023621"
1680,Автобус,Остановка,УЛ. ОРБЕЛИ,УЛ. ОРБЕЛИ,"Светлановский пр., Орбели ул.","202, 293, 40, 9, 93, 98","60.007933641231347,30.3390408"
1681,Автобус,Остановка,УЛ. ОРДЖОНИКИДЗЕ,УЛ. ОРДЖОНИКИДЗЕ [50],"Пр. Юрия Гагарина, Орджоникидзе ул.","16, 50","59.843988410677909,30.3379002"
1682,Автобус,Остановка,"УЛ. ОРДЖОНИКИДЗЕ,УГ. ПР. КОСМОНАВТОВ","УЛ. ОРДЖОНИКИДЗЕ,УГ. ПР. КОСМОНАВТОВ [116]","Космонавтов пр., Орджоникидзе ул.","116, 286, 34","59.842200713394249,30.356657"
1683,Автобус,Остановка,УЛ. ОСИПЕНКО,УЛ. ОСИПЕНКО [24],"Пр. Косыгина, ул. Осипенко","24, 30","59.944914435899484,30.4856319"
1684,Автобус,Остановка,УЛ. ОТВАЖНЫХ,"УЛ. ОТВАЖНЫХ [2, 165]","Ул. Партизана Германа, ул. Отважных","103, 111, 165, 2, 260, 2А","59.835536320240315,30.175415"
1685,Автобус,Остановка,УЛ. ПАРТИЗАНА ГЕРМАНА,"УЛ. ПАРТИЗАНА ГЕРМАНА [229, 130, 2, 165]","Ветеранов пр., ул. Партизана Германа","130, 242, 284, 297, 329, 68, 68А","59.833137224015715,30.1739559"
1686,Автобус,Остановка,"УЛ. ПАРТИЗАНА ГЕРМАНА,26","УЛ. ПАРТИЗАНА ГЕРМАНА,26 [229, 2]",Ул. Партизана Германа,"111, 2, 229, 260, 2А","59.829207000524669,30.1760979"
1687,Автобус,Остановка,АНДРЕЕВСКИЙ ПЕР.,АНДРЕЕВСКИЙ ПЕР.,"Ул. Партизана Германа, Андреевский пер.","103, 111, 165, 2, 260, 2А","59.838552964161565,30.1753426"
1688,Автобус,Остановка,УЛ. ПЕРЕДОВИКОВ,УЛ. ПЕРЕДОВИКОВ [15],"Ириновский пр., ул. Передовиков",290,"59.954573312178759,30.461132"
1689,Автобус,Остановка,"УЛ. ПЕРЕДОВИКОВ,УГ. ПР. УДАРНИКОВ","УЛ. ПЕРЕДОВИКОВ,УГ. ПР. УДАРНИКОВ [27, 92]","Ударников пр., Передовиков ул.","27, 92","59.948670239925981,30.4619503"
1690,Автобус,Остановка,"УЛ. ПИЛОТОВ,13","УЛ. ПИЛОТОВ,13 [13, 13А]","Ул. Пилотов, ул. Штурманская","13, 13А","59.811383024786331,30.3022614"
1691,Автобус,Остановка,СКВЕР ИМЕНИ ВИКЕНТИЯ ГРЯЗНОВА,СКВЕР ИМЕНИ ВИКЕНТИЯ ГРЯЗНОВА,"Ул. Пилотов, Взлётная ул.","13, 13А","59.81358449793035,30.293642"
1692,Автобус,Остановка,УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,"УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО [210, 200]","Петергофское ш., Пограничника Гарькавого ул.","103, 162, 200, 201, 204Э, 210","59.846740110229447,30.147871"
1693,Автобус,Остановка,"УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,21","УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,21 [229]","Пограничника Гарькавого ул., 2-я Комсомольская ул.","203, 226, 229, 284, 300, 333","59.838460306812642,30.146656"
1694,Автобус,Остановка,"УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,43","УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,43 [130, 229]","Пограничника Гарькавого ул., 2-я Комсомольская ул.","130, 163, 203, 229, 333","59.830734522394891,30.1467247"
1695,Автобус,Остановка,УЛ. ПОДВОДНИКА КУЗЬМИНА,"УЛ. ПОДВОДНИКА КУЗЬМИНА [130, 145]","Ветеранов пр., Подводника Кузьмина ул.","130, 145, 145Б, 203, 246","59.847395406634661,30.2556248"
1696,Автобус,Остановка,УЛ. ПОДВОЙСКОГО,"УЛ. ПОДВОЙСКОГО [12, 118]","Искровский пр., Подвойского ул.","118, 12, 255А","59.909380868134598,30.4631557"
1697,Автобус,Остановка,УЛ. ПОМЯЛОВСКОГО,"УЛ. ПОМЯЛОВСКОГО [132, 174]","Новочеркасский пр., Весенняя ул.","132, 174, 183, 206, 5","59.93615608164891,30.4080715"
1698,Автобус,Остановка,УЛ. ПРОФЕССОРА КАЧАЛОВА,"УЛ. ПРОФЕССОРА КАЧАЛОВА [58, 8]","Профессора Качалова ул., Обуховской обороны пр.","253, 58, 8","59.917081554061014,30.399765"
1699,Автобус,Остановка,УЛ. РЕСПУБЛИКАНСКАЯ,УЛ. РЕСПУБЛИКАНСКАЯ [132],"Новочеркасский пр., Республиканская ул.","132, 174, 183, 206, 295, 5","59.933206458909126,30.4079723"
1700,Автобус,Остановка,УЛ. РИХАРДА ЗОРГЕ,УЛ. РИХАРДА ЗОРГЕ,"Доблести ул., Рихарда Зорге ул.","111, 160, 2, 2А, 87","59.850520752812052,30.1754208"
1701,Автобус,Остановка,УЛ. РОЗЕНШТЕЙНА,"УЛ. РОЗЕНШТЕЙНА [65, 70, 71]","Обводного канала наб., Дровяная ул.","65, 67, 70","59.908781584668546,30.2921963"
1702,Автобус,Остановка,УЛ. РУДНЕВА ПО ПР. ЛУНАЧАРСКОГО,УЛ. РУДНЕВА ПО ПР. ЛУНАЧАРСКОГО [178],"Луначарского пр., Руднева ул.","178, 272, 275, 283","60.037232211651457,30.359621"
1703,Автобус,Остановка,УЛ. РУДНЕВА ПО ПРИДОРОЖНОЙ АЛЛЕЕ,УЛ. РУДНЕВА ПО ПРИДОРОЖНОЙ АЛЛЕЕ [178],"Придорожная аллея, Руднева ул.","178, 198, 208, 251, 60","60.053581698336984,30.3706722"
1704,Автобус,Остановка,УЛ. РУСТАВЕЛИ УГ. ПР. НАУКИ,"УЛ. РУСТАВЕЛИ УГ. ПР. НАУКИ [102, 103, 133, 153]","Руставели ул., Науки пр.","102, 132, 133, 136, 153, 176, 183, 206, 237, 249, 293, 61","60.002770853158822,30.4366322"
1705,Автобус,Остановка,ГОРОХОВ ПЕР.,ГОРОХОВ ПЕР.,"Савушкина ул., Приморский пр.","112, 211, 216А, 93","59.98426766016258,30.2485275"
1706,Автобус,Остановка,"УЛ. САВУШКИНА,УГ. ЛИПОВОЙ АЛЛЕИ","УЛ. САВУШКИНА,УГ. ЛИПОВОЙ АЛЛЕИ [93]","Улица Савушкина, Липовая аллея","112, 211, 211Э, 216А, 93","59.984141241317936,30.2554512"
1707,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","Бухарестская ул., Салова ул.","54, 57, 59, 74, 76, 91","59.883091267044144,30.3675499"
1708,Автобус,Остановка,УЛ. САЛОВА ПО ВОЛКОВСКОМУ ПР.,УЛ. САЛОВА ПО ВОЛКОВСКОМУ ПР.,"Волковский пр., Салова ул.","117, 74, 91","59.899952029601288,30.3612423"
1709,Автобус,Остановка,УЛ. САЛОВА УГ. СОФИЙСКОЙ УЛ.,УЛ. САЛОВА УГ. СОФИЙСКОЙ УЛ.,"Салова ул., Софийская ул.","141, 36","59.889585095615303,30.3816319"
1710,Автобус,Остановка,"УЛ. САЛОВА,21","УЛ. САЛОВА,21","Улица Салова, улица Самойловой","141, 36","59.897170473292533,30.3705807"
1711,Автобус,Остановка,"УЛ. САЛОВА,29","УЛ. САЛОВА,29",Улица Салова,"141, 36","59.896039971275862,30.3774128"
1712,Автобус,Остановка,"УЛ. САЛОВА,37","УЛ. САЛОВА,37",Улица Салова,"141, 36","59.894570261134092,30.3825302"
1713,Автобус,Остановка,"УЛ. САЛОВА,57","УЛ. САЛОВА,57",Салова ул.,"117, 36","59.886744415931886,30.3746643"
1714,Автобус,Остановка,"УЛ. САЛОВА,УГ. БЕЛГРАДСКОЙ УЛ.","УЛ. САЛОВА,УГ. БЕЛГРАДСКОЙ УЛ.","Белградская ул., Салова ул.","12, 159, 95","59.878169504790307,30.3525925"
1715,Автобус,Остановка,УЛ. САМОЙЛОВОЙ ПО УЛ. САЛОВА,УЛ. САМОЙЛОВОЙ ПО УЛ. САЛОВА,"Салова ул., Самойловой ул.","117, 36","59.897944673688777,30.3676186"
1716,Автобус,Остановка,УЛ. САМОЙЛОВОЙ УГОЛ УЛ. МГИНСКОЙ,УЛ. САМОЙЛОВОЙ УГОЛ УЛ. МГИНСКОЙ [15],"Самойловой ул., Мгинская ул.","141, 36","59.899301193705156,30.3712082"
1717,Автобус,Остановка,УЛ. СВОБОДЫ,"УЛ. СВОБОДЫ [145, 165, 484, 482, 482а, 482в, 484б, 487, 487]","Таллинское ш., Свободы ул.","144, 145, 147, 149, 165, 245, 446, 477, 481, 482, 482В, 484, 547","59.729151415961162,30.0843849"
1718,Автобус,Остановка,УЛ. СЕДОВА,"УЛ. СЕДОВА [11, 140]","Ул. Ивановская, ул. Седова","11, 116, 239","59.873151024763636,30.4363384"
1719,Автобус,Остановка,УЛ. СЕДОВА,"УЛ. СЕДОВА [12, 56, 157]","Ивановская ул., Седова ул.","12, 140, 239, 288, 5, 56","59.873449275281175,30.4382782"
1720,Автобус,Остановка,"УЛ. СЕДОВА,70","УЛ. СЕДОВА,70 [8]","Седова ул., Фарфоровская ул.","114, 116, 31, 8, 95","59.878848175491875,30.4298458"
1721,Автобус,Остановка,"УЛ. СЕДОВА,93","УЛ. СЕДОВА,93 [95]",Седова ул.,"118, 157, 253, 5, 95","59.866619696191421,30.4432011"
1722,Автобус,Остановка,"УЛ. СЕДОВА,УГ. ПР. ЕЛИЗАРОВА","УЛ. СЕДОВА,УГ. ПР. ЕЛИЗАРОВА [95, 114]","Елизарова пр., Седова ул.","114, 253, 31, 58, 95","59.893497914105296,30.4151611"
1723,Автобус,Остановка,"УЛ. СИКЕЙРОСА,ПОЛИКЛИНИКА","УЛ. СИКЕЙРОСА,ПОЛИКЛИНИКА [123]","Сикейроса ул., Есенина ул.","123, 208, 270, 80","60.035096699841702,30.3312035"
1724,Автобус,Остановка,"УЛ. СИМОНОВА,УГ. УЛ. ПРОКОФЬЕВА","УЛ. СИМОНОВА,УГ. УЛ. ПРОКОФЬЕВА [123, 143]","Прокофьева ул., Симонова ул.","121, 123, 143, 180, 397, 80","60.061951111249776,30.3261299"
1725,Автобус,Остановка,УЛ. СМОЛЯЧКОВА,УЛ. СМОЛЯЧКОВА [86],"Большой Сампсониевский пр., Ловизский пер.",86,"59.971237146563219,30.3404274"
1726,Автобус,Остановка,УЛ. СОЛДАТА КОРЗУНА,"УЛ. СОЛДАТА КОРЗУНА [130, 145]","Ветеранов пр., Солдата Корзуна ул.","103, 130, 145, 145Б, 145Э, 160, 195, 242, 246, 265, 284, 297, 329, 343Э, 345, 52, 68, 68А, 81, 88","59.833634904822553,30.2186394"
1727,Автобус,Остановка,УЛ. СОЛДАТА КОРЗУНА,"УЛ. СОЛДАТА КОРЗУНА [20, 229]","Маршала Жукова пр., Солдата Корзуна ул.","108, 20, 229, 245, 52","59.841366879335084,30.2063046"
1728,Автобус,Остановка,УЛ. СТАСОВОЙ,"УЛ. СТАСОВОЙ [102, 103, 106, 123, 136]","Энергетиков пр., Стасовой ул.","102, 106, 123, 136, 137, 181, 183, 185, 22, 264, 271","59.968748702522298,30.4376392"
1729,Автобус,Остановка,УЛ. СТАХАНОВЦЕВ,"УЛ. СТАХАНОВЦЕВ [27, 24, 132]","Заневский пр., Стахановцев ул.","132, 191, 24, 27, 46","59.928052544184688,30.4082069"
1730,Автобус,Остановка,УЛ. СТЕПАНА РАЗИНА,"УЛ. СТЕПАНА РАЗИНА [22, 70, 71, 66]","Рижский пр., Степана Разина ул.","22, 290, 43, 66, 71","59.913007158439264,30.2680588"
1731,Автобус,Остановка,УЛ. СТОЙКОСТИ,"УЛ. СТОЙКОСТИ [20, 145, 165]","Маршала Жукова пр., проспект Маршала Жукова","108, 145, 145Б, 165, 195, 20, 245, 345, 481, 484, 81","59.827919708600653,30.1892853"
1732,Автобус,Остановка,УЛ. ТАМБАСОВА,"УЛ. ТАМБАСОВА [130, 229]","Народного ополчения пр., ул. Тамбасова","130, 163, 203, 229, 333","59.824926133427859,30.1552963"
1733,Автобус,Остановка,УЛ. ТАМБАСОВА,УЛ. ТАМБАСОВА [130],"Ветеранов пр., ул. Тамбасова","130, 242, 284, 329, 68, 68А","59.834712615698642,30.155838"
1734,Автобус,Остановка,"УЛ. ТАМБАСОВА,6","УЛ. ТАМБАСОВА,6 [165]","Ул. Тамбасова, Новобелицкая ул.","165, 265, 87","59.840879608611836,30.1577606"
1735,Автобус,Остановка,"УЛ. ТАМБАСОВА,32","УЛ. ТАМБАСОВА,32 [165]",Ул. Тамбасова,"165, 265, 297, 87","59.829364904908381,30.1560497"
1736,Автобус,Остановка,"УЛ. ТАМБАСОВА,УГ. ПР. НАРОДНОГО ОПОЛЧЕНИЯ","УЛ. ТАМБАСОВА,УГ. ПР. НАРОДНОГО ОПОЛЧЕНИЯ [165]","Ул. Тамбасова, Народного ополчения пр.","165, 265, 297, 87","59.825605890847498,30.1561146"
